Symbol,Kmeans
Arc1,Cluster 2
CR10102,Cluster 2
CG2157,Cluster 2
CG34325,Cluster 2
Esyt2,Cluster 2
Pvf2,Cluster 2
CG15546,Cluster 2
CG12520,Cluster 2
c11.1,Cluster 2
yellow-b,Cluster 2
pot,Cluster 2
CG42867,Cluster 2
lectin-28C,Cluster 2
CG10126,Cluster 2
CG8066,Cluster 2
CG30091,Cluster 2
CG33469,Cluster 2
Gagr,Cluster 2
Tep4,Cluster 2
AttB,Cluster 2
bmm,Cluster 2
CG11686,Cluster 2
ImpL3,Cluster 2
Adgf-D,Cluster 2
CG8046,Cluster 2
CR40801,Cluster 2
DptA,Cluster 2
CG12814,Cluster 2
Dro,Cluster 2
AttC,Cluster 2
AttA,Cluster 2
IM4,Cluster 2
mt:tRNA:Cys-GCA,Cluster 2
IMPPP,Cluster 2
GstD2,Cluster 2
CG7966,Cluster 2
Got2,Cluster 2
CG10232,Cluster 2
Cyp6a22,Cluster 2
PGRP-SA,Cluster 2
Galk,Cluster 2
Tsp42El,Cluster 2
CG13077,Cluster 2
PGRP-SD,Cluster 2
CG18067,Cluster 2
CG33470,Cluster 2
obe,Cluster 2
CG15553,Cluster 2
mthl10,Cluster 2
CG10621,Cluster 2
mthl2,Cluster 2
CG31955,Cluster 2
CR44185,Cluster 2
CG7763,Cluster 2
zye,Cluster 2
CG33648,Cluster 2
PGRP-SB1,Cluster 2
CR42715,Cluster 2
CG14401,Cluster 2
TotM,Cluster 2
ppk17,Cluster 2
CG10383,Cluster 2
CG3505,Cluster 2
scaf,Cluster 2
CG31195,Cluster 2
Idgf3,Cluster 2
CG1572,Cluster 2
CG2233,Cluster 2
Skeletor,Cluster 2
Spn42Da,Cluster 2
Cyp9h1,Cluster 2
CG4250,Cluster 2
sPLA2,Cluster 2
spirit,Cluster 2
Def,Cluster 2
CG14526,Cluster 2
PGRP-SB2,Cluster 2
edin,Cluster 2
snRNA:U6:96Ac,Cluster 2
Wsck,Cluster 2
CG13226,Cluster 2
CR44404,Cluster 2
CG14227,Cluster 2
CR43967,Cluster 2
Mrp4,Cluster 2
CG13460,Cluster 2
CG31326,Cluster 2
CG32032,Cluster 2
CG3604,Cluster 2
CecC,Cluster 2
CG15293,Cluster 2
CG9664,Cluster 2
